"role","perf","area","sex","id","age","salary","vol_leave"
"CEO",3,"Sales","Male",1,62,1e+06,0
"Director",3,"Marketing","Male",32,53.3589692160246,258934.658862978,0
"Director",1,"Finance","Male",76,53.4863624206136,189828.441975974,1
"Director",2,"Sales","Male",69,49.165713356988,207492.347565102,0
"Director",3,"Marketing","Male",28,49.7796827779654,188204.745540601,0
"Director",1,"Other","Female",77,39.5907855655523,194836.582465126,0
"Director",2,"Accounting","Female",70,52.8723895779998,197505.665092228,0
"Director",3,"Finance","Female",103,58.3171455808459,196360.753428802,0
"Director",2,"Sales","Female",71,49.4752854770649,168706.853553869,1
"Director",1,"Marketing","Female",25,55.2933612031669,149691.560188437,0
"Director",2,"Sales","Male",31,54.8833853350245,189308.598420996,1
"Director",2,"Other","Male",39,51.7021515521826,134680.62690219,0
"Director",2,"Sales","Male",108,53.3783182723846,197657.825706455,0
"Director",1,"Accounting","Male",49,51.1603740404307,137259.293124932,1
"Director",3,"Finance","Female",89,55.7521205209246,198748.380846266,0
"Director",3,"Marketing","Female",14,51.9735933883873,176156.123584774,0
"Director",3,"Finance","Female",35,52.2839409214257,207136.0670826,0
"Director",2,"Sales","Male",47,57.7875651867357,207325.178320964,0
"Director",2,"Sales","Male",111,51.9394448725833,147974.858525183,0
"Director",2,"Other","Male",91,52.2862982952604,311130.51153774,0
"Director",3,"Sales","Male",65,53.8800991210404,116304.323971962,1
"Director",1,"Sales","Female",102,57.8844396613822,155316.187312351,1
"Director",3,"Other","Male",81,51.7391319305396,140882.461045415,0
"Director",2,"Marketing","Female",104,47.3306002765775,177223.226255961,1
"Director",1,"Other","Female",41,45.4466671272264,211202.844632201,0
"Director",3,"Other","Female",74,58.7649885538389,157544.570211865,0
"Director",3,"Marketing","Male",50,54.6529295960851,170298.755868504,1
"Director",3,"Finance","Male",40,48.7603891823576,215435.683972385,0
"Director",3,"Finance","Male",101,51.6105114349033,137250.322743844,0
"Director",3,"Marketing","Male",95,48.0269073286425,179386.274961812,0
"Director",3,"Sales","Female",45,52.3884123902677,187911.758728969,1
"Director",2,"Marketing","Female",43,52.1608739657019,269017.72310706,0
"Director",2,"Other","Female",80,47.4593077745486,186606.100586948,1
"Director",3,"Marketing","Male",48,45.452121694115,131473.646256593,0
"Director",3,"Marketing","Male",63,47.9988525657851,259173.793752657,0
"Director",2,"Other","Female",90,46.8742581442872,213285.770506336,0
"Director",2,"Marketing","Female",29,53.618754261944,157282.478964654,1
"Director",2,"Finance","Female",109,52.6864238473215,182104.665717015,0
"Director",2,"Marketing","Female",66,53.6533218699513,273357.71441139,0
"Director",2,"Accounting","Female",87,47.7088629315235,119190.828088205,1
"Director",3,"Other","Female",98,52.6951677198375,170224.924818997,0
"Director",3,"Other","Female",97,46.9239133278219,187728.661634747,0
"Director",3,"Finance","Female",72,48.4042578858368,192954.583340308,1
"Director",3,"Marketing","Male",96,58.4181361376954,116386.337006045,0
"Director",2,"Marketing","Female",92,45.422686889004,269356.038569561,0
"Director",1,"Sales","Male",44,48.4072435207576,185020.735809279,0
"Director",2,"Finance","Female",88,50.3445853981547,267970.034163364,0
"Director",1,"Other","Female",22,46.2339386893837,210530.031266015,0
"Director",3,"Other","Male",85,52.5801044222839,224311.615806805,0
"Director",3,"Sales","Female",60,54.4397522282208,213872.758805846,1
"Director",2,"Finance","Male",105,54.6244577362223,168899.774635644,0
