EDLVLTYP,EDLVLTYPT,EDLVL,EDLVLT
1,BELOW HIGH SCHOOL,01,01-NO FORMAL EDUCATION OR SOME ELEMENTARY SCHOOL - DID NOT COMPLETE
1,BELOW HIGH SCHOOL,02,02-ELEMENTARY SCHOOL COMPLETED - NO HIGH SCHOOL
1,BELOW HIGH SCHOOL,03,03-SOME HIGH SCHOOL - DID NOT COMPLETE
2,HIGH SCHOOL OR EQUIVALENCY,04,04-HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY
3,OCCUPATIONAL PROGRAM,05,05-TERMINAL OCCUPATIONAL PROGRAM - DID NOT COMPLETE
3,OCCUPATIONAL PROGRAM,06,"06-TERMINAL OCCUPATIONAL PROGRAM - CERTIFICATE OF COMPLETION, DIPLOMA OR EQUIVALENT"
4,BETWEEN HS & BACHELORS,07,07-SOME COLLEGE - LESS THAN ONE YEAR
4,BETWEEN HS & BACHELORS,08,08-ONE YEAR COLLEGE
4,BETWEEN HS & BACHELORS,09,09-TWO YEARS COLLEGE
4,BETWEEN HS & BACHELORS,10,10-ASSOCIATE DEGREE
4,BETWEEN HS & BACHELORS,11,11-THREE YEARS COLLEGE
4,BETWEEN HS & BACHELORS,12,12-FOUR YEARS COLLEGE
5,BACHELORS,13,13-BACHELOR'S DEGREE
6,POST-BACHELORS,14,14-POST-BACHELOR'S
6,POST-BACHELORS,15,15-FIRST PROFESSIONAL
6,POST-BACHELORS,16,16-POST-FIRST PROFESSIONAL
7,MASTERS,17,17-MASTER'S DEGREE
8,POST MASTERS,18,18-POST-MASTER'S
8,POST MASTERS,19,19-SIXTH-YEAR DEGREE
8,POST MASTERS,20,20-POST-SIXTH YEAR
9,DOCTORATE,21,21-DOCTORATE DEGREE
10,POST-DOCTORATE,22,22-POST-DOCTORATE
11,UNSPECIFIED,**,**-UNSPECIFIED
12,NO EDUCATION LEVEL REPORTED,,NO EDUCATION LEVEL REPORTED
