"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","SalesRating","RandNum","HireSource"
"1",41,1,"Travel_Rarely",1102,"Sales",1,2,"Life Sciences",1,2,"Female",94,3,2,"Sales Executive",4,5993,19479,8,"Yes",11,3,1,80,0,8,0,1,6,4,0,5,1.08819015687155,0.198360299924389,"Applied Online"
"2",49,0,"Travel_Frequently",279,"Research & Development",8,1,"Life Sciences",2,3,"Male",61,2,2,"Research Scientist",2,5130,24907,1,"No",23,3,4,80,1,10,3,3,10,7,1,7,NA,NA,NA
"3",37,1,"Travel_Rarely",1373,"Research & Development",2,2,"Other",4,4,"Male",92,2,1,"Laboratory Technician",3,2090,2396,6,"Yes",15,2,2,80,0,7,3,3,0,0,0,0,NA,0.840140750864521,"Campus"
"4",33,0,"Travel_Frequently",1392,"Research & Development",3,4,"Life Sciences",5,4,"Female",56,3,1,"Research Scientist",3,2909,23159,1,"Yes",11,3,3,80,0,8,3,3,8,7,3,0,NA,NA,NA
"5",27,0,"Travel_Rarely",591,"Research & Development",2,1,"Medical",7,1,"Male",40,3,1,"Laboratory Technician",2,3468,16632,9,"No",12,3,4,80,1,6,3,3,2,2,2,2,NA,0.839982888894156,"Referral"
"6",32,0,"Travel_Frequently",1005,"Research & Development",2,2,"Life Sciences",8,4,"Male",79,3,1,"Laboratory Technician",4,3068,11864,0,"No",13,3,3,80,0,8,2,2,7,7,3,6,NA,NA,NA
"7",59,0,"Travel_Rarely",1324,"Research & Development",3,3,"Medical",10,3,"Female",81,4,1,"Laboratory Technician",1,2670,9964,4,"Yes",20,2,1,80,3,12,3,2,1,0,0,0,NA,0.542672532843426,"Campus"
"8",30,0,"Travel_Rarely",1358,"Research & Development",24,1,"Life Sciences",11,4,"Male",67,3,1,"Laboratory Technician",3,2693,13335,1,"No",22,3,2,80,1,1,2,3,1,0,0,0,NA,0.920267634559423,"Referral"
"9",38,0,"Travel_Frequently",216,"Research & Development",23,3,"Life Sciences",12,4,"Male",44,2,3,"Manufacturing Director",3,9526,8787,0,"No",21,2,2,80,0,10,2,3,9,7,1,8,NA,NA,NA
"10",36,0,"Travel_Rarely",1299,"Research & Development",27,3,"Medical",13,3,"Male",94,3,2,"Healthcare Representative",3,5237,16577,6,"No",13,3,2,80,2,17,3,2,7,7,7,7,NA,NA,NA
"11",35,0,"Travel_Rarely",809,"Research & Development",16,3,"Medical",14,1,"Male",84,4,1,"Laboratory Technician",2,2426,16479,0,"No",13,4,3,80,1,6,5,3,5,4,0,3,NA,0.00336271617561579,"Applied Online"
"12",29,0,"Travel_Rarely",153,"Research & Development",15,2,"Life Sciences",15,4,"Female",49,2,2,"Laboratory Technician",3,4193,12682,0,"Yes",12,3,4,80,0,10,3,3,9,5,0,8,NA,NA,NA
"13",31,0,"Travel_Rarely",670,"Research & Development",26,1,"Life Sciences",16,1,"Male",31,3,1,"Research Scientist",3,2911,15170,1,"No",17,3,4,80,1,5,1,2,5,2,4,3,NA,0.314783357549459,"Applied Online"
"14",34,0,"Travel_Rarely",1346,"Research & Development",19,2,"Medical",18,2,"Male",93,3,1,"Laboratory Technician",4,2661,8758,0,"No",11,3,3,80,1,3,2,3,2,2,1,2,NA,0.894518748857081,"Campus"
"15",28,1,"Travel_Rarely",103,"Research & Development",24,3,"Life Sciences",19,3,"Male",50,2,1,"Laboratory Technician",3,2028,12947,5,"Yes",14,3,2,80,0,6,4,3,4,2,0,3,NA,0.751427551731467,"Campus"
"16",29,0,"Travel_Rarely",1389,"Research & Development",21,4,"Life Sciences",20,2,"Female",51,4,3,"Manufacturing Director",1,9980,10195,1,"No",11,3,3,80,1,10,1,3,10,9,8,8,NA,NA,NA
"17",32,0,"Travel_Rarely",334,"Research & Development",5,2,"Life Sciences",21,1,"Male",80,4,1,"Research Scientist",2,3298,15053,0,"Yes",12,2,4,80,2,7,5,2,6,2,0,5,NA,0.411249329335988,"Referral"
"18",22,0,"Non-Travel",1123,"Research & Development",16,2,"Medical",22,4,"Male",96,4,1,"Laboratory Technician",4,2935,7324,1,"Yes",13,3,2,80,2,1,2,2,1,0,0,0,NA,0.204476661980152,"Applied Online"
"19",53,0,"Travel_Rarely",1219,"Sales",2,4,"Life Sciences",23,1,"Female",78,2,4,"Manager",4,15427,22021,2,"No",16,3,3,80,0,31,3,3,25,8,3,7,2.3941726234967,NA,NA
"20",38,0,"Travel_Rarely",371,"Research & Development",2,3,"Life Sciences",24,4,"Male",45,3,1,"Research Scientist",4,3944,4306,5,"Yes",11,3,3,80,0,6,3,3,3,2,1,2,NA,0.582088181748986,"Campus"
"21",24,0,"Non-Travel",673,"Research & Development",11,2,"Other",26,1,"Female",96,4,2,"Manufacturing Director",3,4011,8232,0,"No",18,3,4,80,1,5,5,2,4,2,1,3,NA,0.348287041299045,"Applied Online"
"22",36,1,"Travel_Rarely",1218,"Sales",9,4,"Life Sciences",27,3,"Male",82,2,1,"Sales Representative",1,3407,6986,7,"No",23,2,2,80,0,10,4,3,5,3,0,3,0.497530207481522,0.547964288154617,"Campus"
"23",34,0,"Travel_Rarely",419,"Research & Development",7,4,"Life Sciences",28,1,"Female",53,3,3,"Research Director",2,11994,21293,0,"No",11,2,3,80,0,13,4,3,12,6,2,11,NA,NA,NA
"24",21,0,"Travel_Rarely",391,"Research & Development",15,2,"Life Sciences",30,3,"Male",96,3,1,"Research Scientist",4,1232,19281,1,"No",14,2,4,80,0,0,6,3,0,0,0,0,NA,0.00635035336017609,"Applied Online"
"25",34,1,"Travel_Rarely",699,"Research & Development",6,1,"Medical",31,2,"Male",83,3,1,"Research Scientist",1,2960,17102,2,"No",11,2,3,80,0,8,2,3,4,2,1,3,NA,0.731480000540614,"Applied Online"
"26",53,0,"Travel_Rarely",1282,"Research & Development",5,3,"Other",32,3,"Female",58,3,5,"Manager",3,19094,10735,4,"No",11,3,4,80,1,26,3,2,14,13,4,8,NA,NA,NA
"27",32,1,"Travel_Frequently",1125,"Research & Development",16,1,"Life Sciences",33,2,"Female",72,1,1,"Research Scientist",1,3919,4681,1,"Yes",22,2,2,80,0,10,5,3,10,2,6,7,NA,NA,NA
"28",42,0,"Travel_Rarely",691,"Sales",8,4,"Marketing",35,3,"Male",48,3,2,"Sales Executive",2,6825,21173,0,"No",11,2,4,80,1,10,2,3,9,7,4,2,2.51395773074528,NA,NA
"29",44,0,"Travel_Rarely",477,"Research & Development",7,4,"Medical",36,1,"Female",42,2,3,"Healthcare Representative",4,10248,2094,3,"No",14,3,4,80,1,24,4,3,22,6,5,17,NA,NA,NA
"30",46,0,"Travel_Rarely",705,"Sales",2,4,"Marketing",38,2,"Female",83,3,5,"Manager",1,18947,22822,3,"No",12,3,4,80,0,22,2,2,2,2,2,1,1.42478876463002,0.329799404833466,"Applied Online"
"31",33,0,"Travel_Rarely",924,"Research & Development",2,3,"Medical",39,3,"Male",78,3,1,"Laboratory Technician",4,2496,6670,4,"No",11,2,4,80,0,7,3,3,1,1,0,0,NA,0.398968283552676,"Applied Online"
"32",44,0,"Travel_Rarely",1459,"Research & Development",10,4,"Other",40,4,"Male",41,3,2,"Healthcare Representative",4,6465,19121,2,"Yes",13,3,4,80,0,9,5,4,4,2,1,3,NA,0.749019714770839,"Campus"
"33",30,0,"Travel_Rarely",125,"Research & Development",9,2,"Medical",41,4,"Male",83,2,1,"Laboratory Technician",3,2206,16117,1,"No",13,3,1,80,0,10,5,3,10,0,1,8,NA,NA,NA
"34",39,1,"Travel_Rarely",895,"Sales",5,3,"Technical Degree",42,4,"Male",56,3,2,"Sales Representative",4,2086,3335,3,"No",14,3,3,80,1,19,6,4,1,0,0,0,0.948123240185223,0.971831566421315,"Referral"
"35",24,1,"Travel_Rarely",813,"Research & Development",1,3,"Medical",45,2,"Male",61,3,1,"Research Scientist",4,2293,3020,2,"Yes",16,2,1,80,1,6,2,2,2,0,2,0,NA,0.429624238517135,"Referral"
"36",43,0,"Travel_Rarely",1273,"Research & Development",2,2,"Medical",46,4,"Female",72,4,1,"Research Scientist",3,2645,21923,1,"No",12,2,4,80,2,6,3,2,5,3,1,4,NA,0.546388884540647,"Campus"
