"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","SalesRating","HireSource","Campus"
"1",41,1,"Travel_Rarely",1102,"Sales",1,2,"Life Sciences",1,2,"Female",94,3,2,"Sales Executive",4,5993,19479,8,"Yes",11,3,1,80,0,8,0,1,6,4,0,5,1.08819015687155,"Applied Online",NA
"2",49,0,"Travel_Frequently",279,"Research & Development",8,1,"Life Sciences",2,3,"Male",61,2,2,"Research Scientist",2,5130,24907,1,"No",23,3,4,80,1,10,3,3,10,7,1,7,NA,NA,NA
"3",37,1,"Travel_Rarely",1373,"Research & Development",2,2,"Other",4,4,"Male",92,2,1,"Laboratory Technician",3,2090,2396,6,"Yes",15,2,2,80,0,7,3,3,0,0,0,0,NA,"Campus","Tech"
"4",33,0,"Travel_Frequently",1392,"Research & Development",3,4,"Life Sciences",5,4,"Female",56,3,1,"Research Scientist",3,2909,23159,1,"Yes",11,3,3,80,0,8,3,3,8,7,3,0,NA,NA,NA
"5",27,0,"Travel_Rarely",591,"Research & Development",2,1,"Medical",7,1,"Male",40,3,1,"Laboratory Technician",2,3468,16632,9,"No",12,3,4,80,1,6,3,3,2,2,2,2,NA,"Referral",NA
"6",32,0,"Travel_Frequently",1005,"Research & Development",2,2,"Life Sciences",8,4,"Male",79,3,1,"Laboratory Technician",4,3068,11864,0,"No",13,3,3,80,0,8,2,2,7,7,3,6,NA,NA,NA
"7",59,0,"Travel_Rarely",1324,"Research & Development",3,3,"Medical",10,3,"Female",81,4,1,"Laboratory Technician",1,2670,9964,4,"Yes",20,2,1,80,3,12,3,2,1,0,0,0,NA,"Campus","Tech"
"8",30,0,"Travel_Rarely",1358,"Research & Development",24,1,"Life Sciences",11,4,"Male",67,3,1,"Laboratory Technician",3,2693,13335,1,"No",22,3,2,80,1,1,2,3,1,0,0,0,NA,"Referral",NA
"9",38,0,"Travel_Frequently",216,"Research & Development",23,3,"Life Sciences",12,4,"Male",44,2,3,"Manufacturing Director",3,9526,8787,0,"No",21,2,2,80,0,10,2,3,9,7,1,8,NA,NA,NA
"10",36,0,"Travel_Rarely",1299,"Research & Development",27,3,"Medical",13,3,"Male",94,3,2,"Healthcare Representative",3,5237,16577,6,"No",13,3,2,80,2,17,3,2,7,7,7,7,NA,NA,NA
