PPTYP,PPTYPT,PPGROUP,PPGROUPT,PAYPLAN,PAYPLANT,PPGRD
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE,GL-03
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE,GL-04
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE,GL-05
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE,GL-06
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE,GL-07
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE,GL-08
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE,GL-09
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE,GL-10
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GM,GM-EMPLOYEES COVERED BY THE PERFORMANCE MANAGEMENT AND RECOGNITION SYSTEM (PMRS) TERMINATION PROVISIONS,GM-13
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GM,GM-EMPLOYEES COVERED BY THE PERFORMANCE MANAGEMENT AND RECOGNITION SYSTEM (PMRS) TERMINATION PROVISIONS,GM-14
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GM,GM-EMPLOYEES COVERED BY THE PERFORMANCE MANAGEMENT AND RECOGNITION SYSTEM (PMRS) TERMINATION PROVISIONS,GM-15
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-**
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-01
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-02
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-03
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-04
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-05
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-06
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-07
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-08
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-09
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-10
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-11
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-12
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-13
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-14
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,11,Standard GSEG Pay Plans,GS,GS-GENERAL SCHEDULE,GS-15
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-03
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-04
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-05
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-06
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-07
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-08
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-09
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-11
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-12
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-13
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-14
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-15
