OCCTYP,OCCTYPT,OCCFAM,OCCFAMT,OCC,OCCT
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0006,0006-CORRECTIONAL INSTITUTION ADMINISTRATION
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0007,0007-CORRECTIONAL OFFICER
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0017,0017-EXPLOSIVES SAFETY
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0018,0018-SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0019,0019-SAFETY TECHNICIAN
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0020,0020-COMMUNITY PLANNING
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0021,0021-COMMUNITY PLANNING TECHNICIAN
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0023,0023-OUTDOOR RECREATION PLANNING
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0025,0025-PARK RANGER
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0028,0028-ENVIRONMENTAL PROTECTION SPECIALIST
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0029,0029-ENVIRONMENTAL PROTECTION ASSISTANT
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0030,0030-SPORTS SPECIALIST
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0050,0050-FUNERAL DIRECTING
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0060,0060-CHAPLAIN
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0062,0062-CLOTHING DESIGN
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0072,0072-FINGERPRINT IDENTIFICATION
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0080,0080-SECURITY ADMINISTRATION
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0081,0081-FIRE PROTECTION AND PREVENTION
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0082,0082-UNITED STATES MARSHAL
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0083,0083-POLICE
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0084,0084-NUCLEAR MATERIALS COURIER
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0085,0085-SECURITY GUARD
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0086,0086-SECURITY CLERICAL AND ASSISTANCE
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0089,0089-EMERGENCY MANAGEMENT SPECIALIST
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0090,0090-GUIDE
1,White Collar,00,00xx-MISCELLANEOUS OCCUPATIONS,0099,0099-GENERAL STUDENT TRAINEE
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0101,0101-SOCIAL SCIENCE
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0102,0102-SOCIAL SCIENCE AID AND TECHNICIAN
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0105,0105-SOCIAL INSURANCE ADMINISTRATION
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0106,0106-UNEMPLOYMENT INSURANCE
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0107,0107-HEALTH INSURANCE ADMINISTRATION
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0110,0110-ECONOMIST
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0119,0119-ECONOMICS ASSISTANT
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0130,0130-FOREIGN AFFAIRS
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0131,0131-INTERNATIONAL RELATIONS
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0132,0132-INTELLIGENCE
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0134,0134-INTELLIGENCE AID AND CLERK
1,White Collar,01,"01xx-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE",0135,0135-FOREIGN AGRICULTURAL AFFAIRS
