AGYTYP,AGYTYPT,AGY,AGYT,AGYSUB,AGYSUBT
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF02,AF02-AIR FORCE INSPECTION AGENCY (FO)
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF03,AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF06,AF06-AIR FORCE AUDIT AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF07,AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF09,AF09-AIR FORCE PERSONNEL CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0B,AF0B-U.S. AIR FORCE ACADEMY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0D,"AF0D-U.S. AIR FORCES, EUROPE"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0J,AF0J-AIR EDUCATION AND TRAINING COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0M,"AF0M-HEADQUARTERS, AIR FORCE RESERVE COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0R,AF0R-PACIFIC AIR FORCES
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0U,AF0U-25 AF
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0V,AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF12,AF12-AIR FORCE PUBLIC AFFAIRS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF13,AF13-HQ USAF AND SUPPORT ELEMENTS
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF16,AF16-AIR FORCE MORTUARY AFFAIRS OPERATIONS
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF17,AF17-AF INSTALLATION AND MISSION SUPPORT
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1B,AF1B-AIR FORCE MANPOWER ANALYSIS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1C,AF1C-AIR COMBAT COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1L,AF1L-AIR MOBILITY COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1M,AF1M-AIR FORCE MATERIEL COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1Q,AF1Q-HQ AF FLIGHT STANDARDS AGENCY
